filename,width,height,class_num,xmin,ymin,xmax,ymax
cat.0.jpg,256,256,0,55.35820533192091,10.992090947210452,197.38757944915255,171.24521098163842
cat.1.jpg,256,256,0,49.572894597457626,24.29830398128531,256.0,256.0
cat.10.jpg,256,256,0,10.232774982344633,26.033898305084747,256.0,256.0
cat.100.jpg,256,256,0,29.035034869350284,10.41356042549435,233.545771539548,256.0
cat.101.jpg,256,256,0,16.8858801200565,10.702824307026836,256.0,256.0
cat.102.jpg,256,256,0,1.2655367231638417,22.27344853460452,246.2734375,256.0
cat.103.jpg,256,256,0,26.720901747881356,26.033898305084747,216.7683615819209,256.0
cat.104.jpg,256,256,0,2.711864406779661,41.075708421610166,242.80225988700565,244.14011740819208
cat.105.jpg,256,256,0,2.711864406779661,2.024858205331921,253.7943591101695,253.68588894774012
cat.106.jpg,256,256,0,16.596607962570623,13.306215792725988,256.0,240.9582009180791
cat.107.jpg,256,256,0,73.0033986581921,10.41356042549435,256.0,256.0
cat.108.jpg,256,256,0,38.94237729519774,67.68814000706215,240.84970868644066,239.22261211158192
cat.109.jpg,256,256,0,29.324295992231637,2.3141248455155368,212.42937853107344,256.0
cat.11.jpg,256,256,0,79.94577595338983,5.496046852930791,218.79323358050846,242.11526747881356
cat.110.jpg,256,256,0,9.07570842161017,32.97627008298023,234.4135769774011,231.41242937853107
cat.111.jpg,256,256,0,19.200002206920903,2.6033914856991527,234.70281603107347,256.0
cat.112.jpg,256,256,0,91.80565854519774,48.885874602754235,165.56837040960454,214.05649717514123
cat.113.jpg,256,256,0,19.778535487288135,63.05988479872882,234.70281603107344,256.0
cat.114.jpg,256,256,0,1.5548088806497176,83.30847236935028,232.9672492937853,188.0225988700565
cat.115.jpg,256,256,0,38.87005649717514,22.27344853460452,198.83390713276836,244.14011740819208
cat.116.jpg,256,256,0,71.55707097457628,4.338983050847458,169.61809233757063,171.53447210451975
cat.117.jpg,256,256,0,9.07570842161017,5.496046852930791,255.52996998587568,241.5367231638418
cat.118.jpg,256,256,0,70.97852665960453,46.57175251588983,255.5299699858757,253.10734463276833
cat.119.jpg,256,256,0,46.39095603813559,30.951414636299436,234.4135769774011,217.52769685734464
